timestamp,source,state,target,event,line_pattern,rain_raw,rain_status,left_lux,right_lux,light_mode,line_lost_fault,movement_timeout_fault,light_tracking_timeout_fault,light_left_ok,light_right_ok,laundry_active,command_sent,command_source,fallback_active,fallback_reason,weather_rain_likely,data_status,ip
2026-06-01T02:41:33+00:00,mqtt,DRYING,NONE,SUN_ROTATE_LEFT,111,3706,DRY,860.8333,834.1666,,,,,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:53:22+00:00,mqtt,DRYING,NONE,SUN_ROTATE_LEFT,111,3706,DRY,860.8333,834.1666,,,,,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:56:02+00:00,mqtt,DRYING,NONE,MQTT_CONNECTED,000,3516,DRY,60,65.83333,NORMAL,False,False,False,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:56:16+00:00,mqtt,STOPPED,NONE,LINE_HUNT_TIMEOUT_STOPPED,000,3365,CONFIRMED,60,65.83333,NORMAL,False,True,False,True,True,True,MOVE_TO_SAFE,FALLBACK_MQTT,True,LOCAL_RAIN_CONFIRMED,,LIVE,mqtt
2026-06-01T02:58:13+00:00,mqtt,DRYING,NONE,MQTT_CONNECTED,000,3849,DRY,4568.333,330,DEGRADED,False,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:18+00:00,mqtt,DRYING,NONE,MQTT_CONNECTED,000,3865,DRY,4568.333,330,DEGRADED,False,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:23+00:00,mqtt,DRYING,NONE,MQTT_CONNECTED,000,3838,DRY,4568.333,330,DEGRADED,False,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:28+00:00,mqtt,DRYING,NONE,MQTT_CONNECTED,000,3856,DRY,4568.333,330,DEGRADED,False,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:42+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3867,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:46+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3896,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:50+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3874,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:58:55+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3862,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:59:01+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3851,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:59:06+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3884,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
2026-06-01T02:59:11+00:00,mqtt,STOPPED,NONE,LINE_LOST_FAULT_STOPPED,000,3886,DRY,4568.333,330,DEGRADED,True,False,True,True,True,True,NONE,NONE,False,LOCAL_SENSOR_OK,,LIVE,mqtt
